-10	0.00049538	-0.000862496
-5	0.000238608	-0.000414858
5	-0.00026545	0.000466703
10	-0.00050328	0.000887435
-10	-0.000502341	0.000867841
-5	-0.000241642	0.000413536
5	0.000270281	-0.000481348
10	0.000512346	-0.000905854
-10	0.000499135	-0.000872786
-5	0.000239686	-0.000417854
5	-0.00027043	0.000478178
10	-0.000512274	0.000903463
-10	-0.00	0.00
-5	-0.00	0.00
5	0.000	-0.000
10	0.000	-0.00
-10	-0.000497834	0.000877395
-5	-0.00023784	0.000422112
5	0.000272269	-0.000474614
10	0.000513699	-0.00090034
-10	0.000496266	-0.000876365
-5	0.000236542	-0.000420244
5	-0.000273163	0.000477528
10	-0.000513594	0.000904092
-10	0.000513166	0.000876646
-5	0.000251705	0.000419204
5	-0.000261452	-0.000480478
10	-0.000382758	-0.000908079
-10	-1.40E-05	4.33E-06
-5	-1.04E-05	5.62E-06
5	-0.000138511	8.76E-06
10	8.20E-07	1.04E-05
-10	-0.00	0.00
-5	-0.00	0.00
5	0.000	-0.000
10	0.000	-0.00
-10	-0.000510185	-0.000877732
-5	-0.000249714	-0.000421695
5	0.000261449	0.000476723
10	0.000502941	0.000904421
0	-4.30E-06	-3.20E-05
2	-0.000106022	-0.000211409
4	-0.000206596	-0.000389257
6	-0.000306176	-0.000565395
8	-0.000403903	-0.000738643
10	-0.000497965	-0.000904705
-2	9.81E-05	0.000148988
-4	0.000200724	0.000330652
-6	0.000304268	0.000512617
-8	0.000407778	0.000695438
-10	0.00051192	0.000878434
-10	0.000494458	-0.000871372
-5	0.000235299	-0.000417862
5	-0.000272514	0.000473317
10	-0.000511394	0.0008957

