 index   name  length   s     betx   alfx   phixetax   etaxp  betz   alfz   phiz   etaz   etazp    x      xp     z      zp
  40      SD0   0.10   4.40   0.14   0.51   0.72  874.50 -8107.87  -0.28  -0.90   0.13 -352.88  98.31   0.00  -0.01  -0.00   0.00
  41      SD0   0.10   4.50   0.13  -0.37   0.85  63.71 -8107.87  -0.16  -0.24   0.05 -343.05  98.31   0.00  -0.01  -0.00   0.00
  42     BEND   0.28   4.60   0.29  -1.25   0.93 -747.07 -8107.87  -0.18   0.41  -0.05 -333.22  98.31  -0.00  -0.01  -0.00   0.00
  43     SD2S   0.20   4.87   1.13  -1.14   1.01 -2546.22 -4231.68  -0.93   2.38  -0.17 -316.40  25.29  -0.00  -0.00  -0.00   0.00
  44     BPMx   0.00   5.07   1.65  -1.53   1.03 -3371.39 -4231.68  -2.13   3.77  -0.19 -311.47  25.29  -0.00  -0.00  -0.00   0.00
  45     BPMz   0.00   5.07   1.65  -1.53   1.03 -3371.39 -4231.68  -2.13   3.77  -0.19 -311.47  25.29  -0.00  -0.00  -0.00   0.00
  46    SD2SB   0.04   5.07   1.65  -1.53   1.03 -3371.39 -4231.68  -2.13   3.77  -0.19 -311.47  25.29  -0.00  -0.00  -0.00   0.00
  47      QP3   0.15   5.11   1.78  -1.61   1.03 -3540.66 -4231.68  -2.44   4.06  -0.19 -310.45  25.29  -0.00  -0.00  -0.00   0.00
  48      SD2   0.21   5.26   3.26  -9.57   1.04 -4958.26 -15294.41  -2.65  -2.86  -0.20 -273.96  444.98  -0.00  -0.02  -0.00   0.00
  49      QP4   0.15   5.47   8.53 -15.53   1.05 -8170.08 -15294.41  -1.60  -2.13  -0.22 -180.52  444.98  -0.01  -0.02  -0.00   0.00
  50     SD1S   0.07   5.62  10.17   5.88   1.05 -8973.95 4883.11  -1.50   1.42  -0.23 -153.31 -71.99  -0.01   0.00  -0.00  -0.00
  51      SX2   0.00   5.69   9.31   5.61   1.05 -8607.72 4883.11  -1.73   1.57  -0.24 -158.71 -71.99  -0.01   0.00  -0.00  -0.00
